,Job_Title,Key_Skills,Location1,Functional_Area_merged,Job_Experience,Job_Salary
28916, Professor Vacancy For Reputed Engineering Colleges," Professor Activities, Engineering, University, Education, College, Research, Institutions, Phd, Teaching","Chennai,Coimbatore,Erode,Madurai,Pondicherry,Salem","Teachers,Teaching , Education , Training , Counselling,Education, Teaching, Training",10 - 15,10 - 25
28943," Regional Sales Manager, Leading Packaged food FMCG"," revenue generation, channel sales, market expansion, regional sales, general trade, FMCG, sales management, Sales, Client Relationships, key account management, Distribution Network, Customer Retention, Business Development, Customer Acquisition","Delhi,Gurgaon","Channel Sales,Sales , Retail , Business Development,FMCG, Foods, Beverage",10 - 15,10 - 25
28962," Tools & Automation in Splunk or Elasticsearch,saltstack,python Web Fra"," Web Technologies, Splunk, Saltstack, Python",Chennai,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
29241, Job Opportunity For Product Architect at Sagitec - July 2019," architectural design, product implementation, business management, project delivery, software product development",Pune,"System Design,Implementation,ERP,CRM,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
29409," Manager Process Excellence(pex) , International BPO , Mumbai"," BPO, Quality, Six Sigma Projects, Process Improvement, Process Excellence, Delivery, Lean Six Sigma, Call Center, Black Belt, International BPO",Mumbai,"Operations,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",10 - 15,10 - 25
29417, Sr. Manager Legal & Collections> Pan India," bangalore, nbfc, bank, bfsi, litigation, legal, collection, financial services",Bengaluru,"Retail,Personal Banking,Financial Services , Banking , Investments , Insurance,Banking, Financial Services, Broking",10 - 15,10 - 25
29814, Senior Developer," asp.net, c#.net, SQL Server, Javascript",Bengaluru,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
29877, HR Manager- Talent Acquisition, Talent Acquisition,Mumbai,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,Electricals, Switchgears",10 - 15,10 - 25
29941, Job Opening for Quality & Service Management with Shared Service," Auditing, Audit Compliance, Process Improvement, Quality Management, Service Quality, Performance Reporting, Service Management, Six Sigma, Green Belt, Black Belt, Six Sigma Yellow Belt",Pune,"Operations,ITES , BPO , KPO , LPO , Customer Service , Operations,Banking, Financial Services, Broking",10 - 15,10 - 25
29952, Sr. Manager," lean six sigma, process excellence, process improvement, process engineering, process re - engineering, continuous improvement, business transformation, Business Process Restructuring",Noida,"Operations,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",10 - 15,10 - 25
267, Senior Manager-fundraising," fundraising, finance",Bengaluru,"Operations,Processes,Finance,Legal,Financial Services , Banking , Investments , Insurance,Medical, Healthcare, Hospitals",15 - 20,10 - 25
330, Head of Maintenance," Equipment Maintenance, Hydraulics, Inventory Management, Management Skills, Maintenance Head, Electricals","Mumbai,Pune","Senior Management,Production , Manufacturing , Maintenance,Automobile, Auto Anciliary, Auto Components",15 - 20,10 - 25
1340, Manager Machine Shop," Bfw, machine shop, cnc, vmc, hmc",Bengaluru,"Senior Management,Production , Manufacturing , Maintenance,Automobile, Auto Anciliary, Auto Components",15 - 20,10 - 25
1962, General Manager Manufacturing," Plant Operations, Production, General Management, Manufacturing Operations, Manufacturing, Operations","Delhi NCR,Chandigarh","Senior Management,Production , Manufacturing , Maintenance,FMCG, Foods, Beverage",15 - 20,10 - 25
2519, IT Project Manager," it project management, scope, software configuration management, software implementation, software development","GreaterNoida,Noida,...More","Programming & Design,IT Software - ERP , CRM,IT-Software, Software Services",15 - 20,10 - 25
2890," Assistant General Manager,deputy General Manager-engineering"," Purified Water, Pumps, General Management, Water Treatment",Hyderabad,"Senior Management,Production , Manufacturing , Maintenance,Pharma, Biotech, Clinical Research",15 - 20,10 - 25
3264," Sr Product Manager,dgm bulk Vitamin in Large Chemical,pharma co,"," Product Management, product development, Market Research",Delhi NCR,"Marketing,Marketing , Advertising , MR , PR , Media Planning,Chemicals, PetroChemical, Plastic, Rubber",15 - 20,10 - 25
4302, Azure HPC Developer & Programmer - Urgent," Data Analytics, T - SQL, Azure, Python, Java, Powershell, Big Data, Grid, Unix Shell Scripting",Mumbai,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",15 - 20,10 - 25
4342, General Manager HR in a Construction & Engineering Company (mira Road)," Construction, Compensation, general management, Employee Engagement, hr generalist, hr, human resource management, engineering, Recruitment","Mumbai,NaviMumbai,Thane","Senior Management,HR , Recruitment , Administration , IR,Construction, Engineering, Cement, Metals",15 - 20,10 - 25
4416," Senior Manager - CRM ( Bavdhan, Pune)"," Team Management, Sales Process, Customer Experience, Corporate Marketing, Customer Care, Customer Satisfaction, Customer Retention, Operations, Query Resolution, Post Sales",Pune,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,Real Estate, Property",15 - 20,10 - 25
4456," Job Opening - International Business Development Executive , Manager"," Negotiation, Finished Goods, Pharma, Formulation, capsules, tablets, International Business Development","Mumbai,NaviMumbai","Retail Sales,Sales , Retail , Business Development,Pharma, Biotech, Clinical Research",15 - 20,10 - 25
4909, Head- Analytical Science Division - Bio Group ( Ph.d)," scientist, Analytical",Delhi,"Senior Management,Analytics & Business Intelligence,KPO, Research, Analytics",15 - 20,10 - 25
4978, Project Manager - Accounting, Accounting Operations,Mumbai,"Accounts,Accounts , Finance , Tax , Company Secretary , Audit,Accounting, Finance",15 - 20,10 - 25
5033, Head-hard Bucket & Recovery with a 2W Finance Specialist NBFC," nbfc, geography, recovery, finance",Pune,"Retail,Personal Banking,Financial Services , Banking , Investments , Insurance,Banking, Financial Services, Broking",15 - 20,10 - 25
5583,"AVP, VP- Technology","Javascript,Java,Hibernate,Spring,CSS,Bootstrap,Rest,Web Development,Software Development Life Cycle,Front End,ui developer,ui engineer,graphical user interface engineer,graphical ui developer engineer,graphical user interface developer engineer",Delhi NCR,"Senior Management,IT Software - Application Programming , Maintenance,Education , Teaching , Training",15 - 20,10 - 25
5672, head Printing for Rotary .," Senior Manager, dgm, gm, manager",Ahmedabad,"Production,Manufacturing,Maintenance,Production , Manufacturing , Maintenance,Textiles, Garments, Accessories",15 - 20,10 - 25
5905," Associate Director- Research (chemicals and Materials) , Pune"," Chemical, Secondary Research, Competitive Intelligence, Strategy Consulting, Consulting, Market Research, Analytics, Primary Research",Pune,"Corporate Planning,Consulting,Strategy,Strategy , Management Consulting , Corporate Planning,Strategy, Management Consulting Firms",15 - 20,10 - 25
6125, Leading US Based Captive Hiring For Senior Project Manager," Application Development, Banking Domain, PMP, Program Management, Project Management, Scope, Waterfall, Agile, Project Manager, prince 2, Budget, SDLC","Bengaluru,Chennai","Project Management,IT Software - Application Programming , Maintenance,IT-Software, Software Services",15 - 20,10 - 25
7269," Agm,dgm, GM - HR"," GM, Agm, Employee Engagement, HR, DGM, Recruitment",Chennai,"Senior Management,HR , Recruitment , Administration , IR,BPO, Call Centre, ITeS",15 - 20,10 - 25
7458, Platform Architect," os internals, c++, python, c, device drivers, data structures, embedded linux",Bengaluru,"Programming & Design,IT Software - Embedded , EDA , VLSI , ASIC , Chip Design,IT-Software, Software Services",15 - 20,10 - 25
7471," Senior Production Manager,"," production management, heavy fabrication, machine shop, production, factory head, production planning",Bengaluru,"Production,Manufacturing,Maintenance,Production , Manufacturing , Maintenance,Industrial Products, Heavy Machinery",15 - 20,10 - 25
7849, Process Function Opportunity," P, PFDS, Equipment Sizing, HySYS, Hydraulic Calculations, Material Balance, Line Sizing, PRO II, IDS, FLaReNet, FEED","Delhi NCR,Vadodara","R&D,Engineering Design , R&D,Oil and Gas, Energy, Power, Infrastructure",15 - 20,10 - 25
8046," Zonal Sales Manager (3rd Line) - Chennai Gastro , General - Pharma"," sales manager, zsm, zonal manager, zonal business manager, Gastro, dsm",Chennai,"Retail Sales,Sales , Retail , Business Development,Pharma, Biotech, Clinical Research",15 - 20,10 - 25
8617, Senior PR Manager," Public Relations, Media Relations, Online Media, PR Management, Marketing Communication",Chennai,"Public Relations,Marketing , Advertising , MR , PR , Media Planning,Construction, Engineering, Cement, Metals",15 - 20,10 - 25
8681, Sr. Cluster Sales Head - Bancassurance & Alliances - Life Insurance Co," Banca, Life Insurance, Team Training, Bancassurance Sales, Banking, Sales Strategy, Strategic Planning","Mumbai,Pune,Ahmedabad","Channel Sales,Sales , Retail , Business Development,Insurance",15 - 20,10 - 25
8718, Opening For .Net Architect With (hadoop & Kubernates)," C#, .Net, WCF, ASP.Net MVC",Bengaluru,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",15 - 20,10 - 25
9020," RSM- Uttrakhand, Delhi"," Regional Sales, Snacks, Food, FMCG, Sales Management, Distribution, Beverage","Delhi,Dehradun","Channel Sales,Sales , Retail , Business Development,FMCG, Foods, Beverage",15 - 20,10 - 25
9078, Vaccancy for CRM Head," Residential, Real Estate, crm management, customer relationship management, CRM","Mumbai,MumbaiSuburbs,NaviMumbai","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,Real Estate, Property",15 - 20,10 - 25
9447, General Manager Marketing," Marketing Management, Sales, Business Development, Brand Management, Business Expansion, Strategy, General Management, Strategic Thinking, Strong Analytical Skills",Ghaziabad,"Marketing,Marketing , Advertising , MR , PR , Media Planning,Industrial Products, Heavy Machinery",15 - 20,10 - 25
9810, Sales Head - Modular Switches," Modular Switches, Business Planning, Sales, Networking, Switch, Resource Allocation, Finance, Switches, Budgeting, Revenue Generation, Financial Management, Marketing",Noida,"Senior Management,Sales , Retail , Business Development,Electricals, Switchgears",15 - 20,10 - 25
9858, Service Delivery Manager - North America Operations, Technical Support,Bengaluru,"Senior Management,ITES , BPO , KPO , LPO , Customer Service , Operations,IT-Hardware & Networking",15 - 20,10 - 25
10194, Preferred Relationship Manager - Wealth - Kolkata," wealth, client relationship management, pms, preferred banking, portfolio management, mutual funds, structured products",Kolkata,"Investment Banking,Financial Services , Banking , Investments , Insurance,Banking, Financial Services, Broking",15 - 20,10 - 25
10197, Mumbai Unit Head Service Operation Production," electronics, home appliances, production, appliances, mobile, Operational Head, laptop, Process Flow, Material Management, consumer durables, phone, set top box, Operations, maintenance, consumer goods",Mumbai,"Senior Management,Production , Manufacturing , Maintenance,Consumer Electronics, Appliances, Durables",15 - 20,10 - 25
10978," General Manager (mfg) for Printing M,C Ind.- Base Location NAVI Mumbai"," dgm operations, dgm production, manufacturing head, unit head, factory head, plant manager, factory manager","Mumbai,NaviMumbai","Senior Management,Production , Manufacturing , Maintenance,Printing, Packaging",15 - 20,10 - 25
11696, Branch Manager - Agency Channel," Team Handling, Branch Head, Life Insurance, Branch Management, Deputy Branch Manager, Assistant Branch Manager, Branch Manager, Territory Manager","Mumbai,MumbaiSuburbs,NaviMumbai,Raipur,Jaipur,Pune","Retail Sales,Sales , Retail , Business Development,Insurance",15 - 20,10 - 25
